c/a Ratio, Total Energy (Ry), SCF Accuracy (Ry), CPU Time, Stress_xx (Ry/bohr³), Stress_yy (Ry/bohr³), Stress_zz (Ry/bohr³)
0.9900, -76.77166371, 0.00000002 Ry, : 40.84s CPU 44.57s WALL, 0.00004230, 0.00004230, 0.00010372

0.9904, -76.77181174, 0.00000002 Ry, : 40.40s CPU 44.00s WALL, 0.00004042, 0.00004042, 0.00009955
0.9906, -76.77188344, 0.00000002 Ry, : 40.56s CPU 44.34s WALL, 0.00003948, 0.00003948, 0.00009747
0.9908, -76.77195360, 0.00000002 Ry, : 40.29s CPU 43.89s WALL, 0.00003855, 0.00003855, 0.00009538
0.9910, -76.77202222, 0.00000002 Ry, : 40.73s CPU 43.64s WALL, 0.00003763, 0.00003763, 0.00009330
0.9912, -76.77208930, 0.00000002 Ry, : 41.17s CPU 44.20s WALL, 0.00003670, 0.00003670, 0.00009121
0.9914, -76.77215482, 0.00000002 Ry, : 41.58s CPU 44.38s WALL, 0.00003578, 0.00003578, 0.00008912
0.9916, -76.77221882, 0.00000002 Ry, : 42.09s CPU 44.84s WALL, 0.00003486, 0.00003486, 0.00008703
0.9918, -76.77228129, 0.00000002 Ry, : 40.31s CPU 44.13s WALL, 0.00003395, 0.00003395, 0.00008495
0.9920, -76.77234222, 0.00000002 Ry, : 41.50s CPU 44.37s WALL, 0.00003304, 0.00003304, 0.00008287
0.9924, -76.77245946, 0.00000002 Ry, : 41.14s CPU 44.45s WALL, 0.00003123, 0.00003123, 0.00007869
0.9926, -76.77251583, 0.00000003 Ry, : 42.04s CPU 45.54s WALL, 0.00003033, 0.00003033, 0.00007660
0.9928, -76.77257063, 0.00000002 Ry, : 41.30s CPU 45.19s WALL, 0.00002943, 0.00002943, 0.00007452
0.9930, -76.77262390, 0.00000002 Ry, : 41.40s CPU 45.13s WALL, 0.00002854, 0.00002854, 0.00007244
0.9934, -76.77272588, 0.00000002 Ry, : 40.99s CPU 44.85s WALL, 0.00002677, 0.00002677, 0.00006827
0.9936, -76.77277458, 0.00000002 Ry, : 41.43s CPU 44.49s WALL, 0.00002589, 0.00002589, 0.00006619
0.9938, -76.77282175, 0.00000003 Ry, : 41.45s CPU 45.02s WALL, 0.00002501, 0.00002501, 0.00006409
0.9940, -76.77286741, 0.00000002 Ry, : 41.51s CPU 45.10s WALL, 0.00002414, 0.00002414, 0.00006201
0.9942, -76.77291155, 0.00000003 Ry, : 41.51s CPU 44.66s WALL, 0.00002327, 0.00002327, 0.00005993
0.9944, -76.77295416, 0.00000003 Ry, : 42.97s CPU 45.82s WALL, 0.00002239, 0.00002239, 0.00005784
0.9946, -76.77299526, 0.00000003 Ry, : 41.84s CPU 45.19s WALL, 0.00002153, 0.00002153, 0.00005576
0.9950, -76.77307295, 0.00000003 Ry, : 41.38s CPU 45.38s WALL, 0.00001981, 0.00001981, 0.00005158
0.9952, -76.77310953, 0.00000003 Ry, : 41.91s CPU 45.12s WALL, 0.00001896, 0.00001896, 0.00004950
0.9954, -76.77314457, 0.00000003 Ry, : 44.36s CPU 46.81s WALL, 0.00001810, 0.00001810, 0.00004741
0.9956, -76.77317815, 0.00000003 Ry, : 42.83s CPU 45.69s WALL, 0.00001726, 0.00001726, 0.00004532
0.9958, -76.77321019, 0.00000003 Ry, : 41.69s CPU 45.24s WALL, 0.00001642, 0.00001642, 0.00004324
0.9962, -76.77326973, 0.00000003 Ry, : 41.29s CPU 44.99s WALL, 0.00001475, 0.00001475, 0.00003908
0.9964, -76.77329724, 0.00000003 Ry, : 41.42s CPU 45.30s WALL, 0.00001392, 0.00001392, 0.00003700
0.9966, -76.77332324, 0.00000003 Ry, : 41.42s CPU 45.12s WALL, 0.00001309, 0.00001309, 0.00003491
0.9968, -76.77334774, 0.00000003 Ry, : 42.70s CPU 46.91s WALL, 0.00001226, 0.00001226, 0.00003283
0.9970, -76.77337075, 0.00000002 Ry, : 42.38s CPU 45.35s WALL, 0.00001145, 0.00001145, 0.00003076
0.9974, -76.77341226, 0.00000003 Ry, : 42.20s CPU 46.14s WALL, 0.00000981, 0.00000981, 0.00002659
0.9976, -76.77343078, 0.00000002 Ry, : 42.27s CPU 46.06s WALL, 0.00000901, 0.00000901, 0.00002451
0.9978, -76.77344780, 0.00000002 Ry, : 42.24s CPU 45.54s WALL, 0.00000822, 0.00000822, 0.00002245
0.9980, -76.77346333, 0.00000002 Ry, : 42.52s CPU 46.11s WALL, 0.00000741, 0.00000741, 0.00002036
0.9982, -76.77347736, 0.00000002 Ry, : 41.94s CPU 45.50s WALL, 0.00000663, 0.00000663, 0.00001830
0.9984, -76.77348991, 0.00000001 Ry, : 41.99s CPU 45.69s WALL, 0.00000586, 0.00000586, 0.00001625
0.9986, -76.77350096, 0.00000001 Ry, : 41.90s CPU 45.54s WALL, 0.00000505, 0.00000505, 0.00001416
0.9988, -76.77351052, 8.1E-09 Ry, : 42.01s CPU 45.78s WALL, 0.00000432, 0.00000432, 0.00001212
0.9990, -76.77351860, 6.4E-09 Ry, : 42.82s CPU 45.72s WALL, 0.00000356, 0.00000356, 0.00001007
0.9992, -76.77352520, 7.4E-09 Ry, : 42.88s CPU 47.19s WALL, 0.00000275, 0.00000275, 0.00000797
0.9994, -76.77353032, 9.5E-09 Ry, : 42.62s CPU 46.21s WALL, 0.00000208, 0.00000208, 0.00000599
0.9996, -76.77353396, 6.2E-09 Ry, : 42.84s CPU 46.02s WALL, 0.00000123, 0.00000123, 0.00000384
0.9998, -76.77353612, 8.7E-09 Ry, : 42.76s CPU 46.24s WALL, 0.00000052, 0.00000052, 0.00000182
1.0000, -76.77353680, 0.00000001 Ry, : 14.74s CPU 16.10s WALL, -0.00000023, -0.00000023, -0.00000023
1.0002, -76.77353601, 0.00000001 Ry, : 42.53s CPU 45.73s WALL, -0.00000099, -0.00000099, -0.00000230
1.0004, -76.77353375, 0.00000001 Ry, : 42.55s CPU 45.97s WALL, -0.00000176, -0.00000176, -0.00000439
1.0006, -76.77353002, 6.4E-09 Ry, : 42.77s CPU 46.37s WALL, -0.00000260, -0.00000260, -0.00000654
1.0010, -76.77351815, 6.8E-09 Ry, : 41.82s CPU 46.09s WALL, -0.00000414, -0.00000414, -0.00001072
1.0012, -76.77351000, 0.00000001 Ry, : 41.68s CPU 45.95s WALL, -0.00000493, -0.00000493, -0.00001284
1.0014, -76.77350035, 0.00000001 Ry, : 42.46s CPU 45.68s WALL, -0.00000569, -0.00000569, -0.00001493
1.0016, -76.77348929, 0.00000001 Ry, : 42.33s CPU 46.22s WALL, -0.00000645, -0.00000645, -0.00001702
1.0018, -76.77347675, 0.00000002 Ry, : 41.97s CPU 46.26s WALL, -0.00000721, -0.00000721, -0.00001911
1.0020, -76.77346274, 0.00000002 Ry, : 41.72s CPU 46.23s WALL, -0.00000797, -0.00000797, -0.00002121
1.0022, -76.77344728, 0.00000002 Ry, : 42.88s CPU 46.04s WALL, -0.00000870, -0.00000870, -0.00002327
1.0024, -76.77343036, 0.00000002 Ry, : 41.96s CPU 45.59s WALL, -0.00000945, -0.00000945, -0.00002536
1.0026, -76.77341200, 0.00000002 Ry, : 42.41s CPU 45.41s WALL, -0.00001017, -0.00001017, -0.00002743
1.0028, -76.77339217, 0.00000002 Ry, : 41.74s CPU 45.18s WALL, -0.00001090, -0.00001090, -0.00002951
1.0032, -76.77334814, 0.00000002 Ry, : 42.18s CPU 45.34s WALL, -0.00001233, -0.00001233, -0.00003365
1.0036, -76.77329832, 0.00000002 Ry, : 41.90s CPU 45.75s WALL, -0.00001376, -0.00001376, -0.00003779
1.0038, -76.77327128, 0.00000003 Ry, : 42.70s CPU 45.73s WALL, -0.00001448, -0.00001448, -0.00003987
1.0040, -76.77324275, 0.00000003 Ry, : 42.15s CPU 45.58s WALL, -0.00001518, -0.00001518, -0.00004194
1.0042, -76.77321278, 0.00000003 Ry, : 41.65s CPU 45.15s WALL, -0.00001589, -0.00001589, -0.00004401
1.0044, -76.77318137, 0.00000003 Ry, : 41.77s CPU 45.52s WALL, -0.00001658, -0.00001658, -0.00004607
1.0046, -76.77314853, 0.00000003 Ry, : 41.80s CPU 45.02s WALL, -0.00001727, -0.00001727, -0.00004813
1.0050, -76.77307852, 0.00000003 Ry, : 42.45s CPU 45.62s WALL, -0.00001866, -0.00001866, -0.00005228
1.0054, -76.77300279, 0.00000003 Ry, : 41.52s CPU 45.35s WALL, -0.00002003, -0.00002003, -0.00005641
1.0056, -76.77296277, 0.00000003 Ry, : 42.10s CPU 45.71s WALL, -0.00002071, -0.00002071, -0.00005847
1.0058, -76.77292132, 0.00000003 Ry, : 41.98s CPU 45.66s WALL, -0.00002138, -0.00002138, -0.00006053
1.0060, -76.77287844, 0.00000003 Ry, : 42.86s CPU 45.59s WALL, -0.00002205, -0.00002205, -0.00006259
1.0062, -76.77283413, 0.00000002 Ry, : 41.38s CPU 44.93s WALL, -0.00002271, -0.00002271, -0.00006464
1.0064, -76.77278840, 0.00000003 Ry, : 42.95s CPU 45.71s WALL, -0.00002338, -0.00002338, -0.00006671
1.0066, -76.77274125, 0.00000003 Ry, : 41.65s CPU 45.32s WALL, -0.00002404, -0.00002404, -0.00006876
1.0068, -76.77269268, 0.00000003 Ry, : 41.21s CPU 45.15s WALL, -0.00002471, -0.00002471, -0.00007083
1.0070, -76.77264268, 0.00000003 Ry, : 43.42s CPU 46.86s WALL, -0.00002536, -0.00002536, -0.00007288
1.0074, -76.77253846, 0.00000002 Ry, : 41.13s CPU 44.53s WALL, -0.00002666, -0.00002666, -0.00007699
1.0076, -76.77248422, 0.00000002 Ry, : 41.14s CPU 44.32s WALL, -0.00002731, -0.00002731, -0.00007905
1.0078, -76.77242857, 0.00000002 Ry, : 41.81s CPU 45.16s WALL, -0.00002796, -0.00002796, -0.00008110
1.0082, -76.77231303, 0.00000002 Ry, : 41.11s CPU 44.92s WALL, -0.00002924, -0.00002924, -0.00008521
1.0084, -76.77225316, 0.00000002 Ry, : 42.26s CPU 45.57s WALL, -0.00002987, -0.00002987, -0.00008726
1.0086, -76.77219187, 0.00000002 Ry, : 41.19s CPU 45.14s WALL, -0.00003050, -0.00003050, -0.00008931
1.0090, -76.77206511, 0.00000002 Ry, : 41.13s CPU 45.08s WALL, -0.00003174, -0.00003174, -0.00009340
1.0092, -76.77199963, 0.00000002 Ry, : 41.62s CPU 44.64s WALL, -0.00003238, -0.00003238, -0.00009546
1.0094, -76.77193275, 0.00000002 Ry, : 41.28s CPU 45.27s WALL, -0.00003299, -0.00003299, -0.00009749
1.0096, -76.77186448, 0.00000002 Ry, : 41.09s CPU 44.90s WALL, -0.00003361, -0.00003361, -0.00009955
1.0098, -76.77179481, 0.00000002 Ry, : 41.66s CPU 46.25s WALL, -0.00003422, -0.00003422, -0.00010159

